joint_name,joint_index,timestamp_ms,sim_time,value,limit_low,limit_high,violation_type,exceed_amount
LF_Knee,8,5980.0,5.98,0.579479,-1.2217299,0.3599280143971206,high,0.2195509856028794
LF_Knee,8,6000.0,6.0,0.576068,-1.2217299,0.3599280143971206,high,0.21613998560287945
LF_Knee,8,6020.0,6.02,0.542285,-1.2217299,0.3599280143971206,high,0.18235698560287944
LF_Knee,8,6040.0,6.04,0.568651,-1.2217299,0.3599280143971206,high,0.20872298560287944
LF_Knee,8,6060.0,6.06,0.487688,-1.2217299,0.3599280143971206,high,0.12775998560287943
LF_Knee,8,6360.0,6.36,0.559189,-1.2217299,0.3599280143971206,high,0.19926098560287947
LF_Knee,8,6380.0,6.38,0.574567,-1.2217299,0.3599280143971206,high,0.21463898560287947
LF_Knee,8,6400.0,6.4,0.546836,-1.2217299,0.3599280143971206,high,0.1869079856028794
LF_Knee,8,6420.0,6.42,0.569978,-1.2217299,0.3599280143971206,high,0.2100499856028794
LF_Knee,8,6440.0,6.44,0.514103,-1.2217299,0.3599280143971206,high,0.1541749856028794
LF_Knee,8,6740.0,6.74,0.557945,-1.2217299,0.3599280143971206,high,0.19801698560287945
LF_Knee,8,6760.0,6.76,0.588036,-1.2217299,0.3599280143971206,high,0.22810798560287943
LF_Knee,8,6780.0,6.78,0.555835,-1.2217299,0.3599280143971206,high,0.1959069856028794
LF_Knee,8,6800.0,6.8,0.577866,-1.2217299,0.3599280143971206,high,0.2179379856028794
LF_Knee,8,6820.0,6.82,0.52969,-1.2217299,0.3599280143971206,high,0.16976198560287942
LF_Knee,8,7120.0,7.12,0.532615,-1.2217299,0.3599280143971206,high,0.17268698560287937
LF_Knee,8,7140.0,7.14,0.579879,-1.2217299,0.3599280143971206,high,0.21995098560287946
LF_Knee,8,7160.0,7.16,0.56163,-1.2217299,0.3599280143971206,high,0.20170198560287939
LF_Knee,8,7180.0,7.18,0.574661,-1.2217299,0.3599280143971206,high,0.2147329856028794
LF_Knee,8,7200.0,7.2,0.532399,-1.2217299,0.3599280143971206,high,0.17247098560287938
LF_Knee,8,7500.0,7.5,0.510482,-1.2217299,0.3599280143971206,high,0.15055398560287941
LF_Knee,8,7520.0,7.52,0.590084,-1.2217299,0.3599280143971206,high,0.23015598560287948
LF_Knee,8,7540.0,7.54,0.57469,-1.2217299,0.3599280143971206,high,0.21476198560287946
LF_Knee,8,7560.0,7.56,0.573976,-1.2217299,0.3599280143971206,high,0.21404798560287946
LF_Knee,8,7580.0,7.58,0.534291,-1.2217299,0.3599280143971206,high,0.17436298560287938
LF_Knee,8,7880.0,7.88,0.50308,-1.2217299,0.3599280143971206,high,0.1431519856028794
LF_Knee,8,7900.0,7.9,0.578749,-1.2217299,0.3599280143971206,high,0.21882098560287938
LF_Knee,8,7920.0,7.92,0.570671,-1.2217299,0.3599280143971206,high,0.21074298560287946
LF_Knee,8,7940.0,7.94,0.568347,-1.2217299,0.3599280143971206,high,0.20841898560287947
LF_Knee,8,7960.0,7.96,0.538937,-1.2217299,0.3599280143971206,high,0.17900898560287942
LR_Knee,9,2340.0,2.34,0.417847,-1.2217299,0.3599280143971206,high,0.05791898560287945
LR_Knee,9,2360.0,2.36,0.566969,-1.2217299,0.3599280143971206,high,0.20704098560287937
LR_Knee,9,2380.0,2.38,0.532604,-1.2217299,0.3599280143971206,high,0.1726759856028794
LR_Knee,9,2400.0,2.4,0.566649,-1.2217299,0.3599280143971206,high,0.20672098560287938
LR_Knee,9,2420.0,2.42,0.531061,-1.2217299,0.3599280143971206,high,0.17113298560287943
LR_Knee,9,2740.0,2.74,0.602761,-1.2217299,0.3599280143971206,high,0.24283298560287941
LR_Knee,9,2760.0,2.76,0.570018,-1.2217299,0.3599280143971206,high,0.21008998560287945
LR_Knee,9,2780.0,2.78,0.523923,-1.2217299,0.3599280143971206,high,0.16399498560287945
LR_Knee,9,2800.0,2.8,0.528047,-1.2217299,0.3599280143971206,high,0.16811898560287947
LR_Knee,9,3120.0,3.12,0.595792,-1.2217299,0.3599280143971206,high,0.2358639856028794
LR_Knee,9,3140.0,3.14,0.567469,-1.2217299,0.3599280143971206,high,0.20754098560287942
LR_Knee,9,3160.0,3.16,0.556545,-1.2217299,0.3599280143971206,high,0.19661698560287938
LR_Knee,9,3180.0,3.18,0.511703,-1.2217299,0.3599280143971206,high,0.15177498560287944
LR_Knee,9,3200.0,3.2,0.370821,-1.2217299,0.3599280143971206,high,0.010892985602879435
LR_Knee,9,3500.0,3.5,0.592989,-1.2217299,0.3599280143971206,high,0.2330609856028794
LR_Knee,9,3520.0,3.52,0.568333,-1.2217299,0.3599280143971206,high,0.2084049856028794
LR_Knee,9,3540.0,3.54,0.555264,-1.2217299,0.3599280143971206,high,0.1953359856028794
LR_Knee,9,3560.0,3.56,0.516418,-1.2217299,0.3599280143971206,high,0.15648998560287947
LR_Knee,9,3580.0,3.58,0.440144,-1.2217299,0.3599280143971206,high,0.0802159856028794
LR_Knee,9,3880.0,3.88,0.561278,-1.2217299,0.3599280143971206,high,0.20134998560287948
LR_Knee,9,3900.0,3.9,0.587331,-1.2217299,0.3599280143971206,high,0.22740298560287947
LR_Knee,9,3920.0,3.92,0.563122,-1.2217299,0.3599280143971206,high,0.20319398560287943
LR_Knee,9,3940.0,3.94,0.520103,-1.2217299,0.3599280143971206,high,0.1601749856028794
LR_Knee,9,3960.0,3.96,0.480317,-1.2217299,0.3599280143971206,high,0.12038898560287942
LR_Knee,9,4260.0,4.26,0.530817,-1.2217299,0.3599280143971206,high,0.1708889856028794
LR_Knee,9,4280.0,4.28,0.625886,-1.2217299,0.3599280143971206,high,0.2659579856028795
LR_Knee,9,4300.0,4.3,0.580014,-1.2217299,0.3599280143971206,high,0.22008598560287945
LR_Knee,9,4320.0,4.32,0.530704,-1.2217299,0.3599280143971206,high,0.17077598560287938
LR_Knee,9,4340.0,4.34,0.512299,-1.2217299,0.3599280143971206,high,0.15237098560287937
LR_Knee,9,4640.0,4.64,0.420883,-1.2217299,0.3599280143971206,high,0.06095498560287943
LR_Knee,9,4660.0,4.66,0.665396,-1.2217299,0.3599280143971206,high,0.3054679856028794
LR_Knee,9,4680.0,4.68,0.610488,-1.2217299,0.3599280143971206,high,0.25055998560287945
LR_Knee,9,4700.0,4.7,0.55056,-1.2217299,0.3599280143971206,high,0.19063198560287947
LR_Knee,9,4720.0,4.72,0.532054,-1.2217299,0.3599280143971206,high,0.17212598560287945
LR_Knee,9,5020.0,5.02,0.398791,-1.2217299,0.3599280143971206,high,0.03886298560287943
LR_Knee,9,5040.0,5.04,0.630703,-1.2217299,0.3599280143971206,high,0.27077498560287944
LR_Knee,9,5060.0,5.06,0.586616,-1.2217299,0.3599280143971206,high,0.22668798560287945
LR_Knee,9,5080.0,5.08,0.552858,-1.2217299,0.3599280143971206,high,0.19292998560287938
LR_Knee,9,5100.0,5.1,0.546826,-1.2217299,0.3599280143971206,high,0.18689798560287946
LR_Knee,9,5400.0,5.4,0.377262,-1.2217299,0.3599280143971206,high,0.01733398560287941
LR_Knee,9,5420.0,5.42,0.653545,-1.2217299,0.3599280143971206,high,0.29361698560287947
LR_Knee,9,5440.0,5.44,0.617276,-1.2217299,0.3599280143971206,high,0.25734798560287947
LR_Knee,9,5460.0,5.46,0.564614,-1.2217299,0.3599280143971206,high,0.20468598560287937
LR_Knee,9,5480.0,5.48,0.541971,-1.2217299,0.3599280143971206,high,0.1820429856028794
LR_Knee,9,5800.0,5.8,0.624695,-1.2217299,0.3599280143971206,high,0.2647669856028794
LR_Knee,9,5820.0,5.82,0.59924,-1.2217299,0.3599280143971206,high,0.23931198560287942
LR_Knee,9,5840.0,5.84,0.559216,-1.2217299,0.3599280143971206,high,0.19928798560287947
LR_Knee,9,5860.0,5.86,0.544144,-1.2217299,0.3599280143971206,high,0.18421598560287938
LR_Knee,9,6180.0,6.18,0.629678,-1.2217299,0.3599280143971206,high,0.2697499856028794
LR_Knee,9,6200.0,6.2,0.59306,-1.2217299,0.3599280143971206,high,0.23313198560287945
LR_Knee,9,6220.0,6.22,0.554261,-1.2217299,0.3599280143971206,high,0.19433298560287943
LR_Knee,9,6240.0,6.24,0.527442,-1.2217299,0.3599280143971206,high,0.1675139856028794
LR_Knee,9,6560.0,6.56,0.618033,-1.2217299,0.3599280143971206,high,0.2581049856028795
LR_Knee,9,6580.0,6.58,0.576129,-1.2217299,0.3599280143971206,high,0.21620098560287943
LR_Knee,9,6600.0,6.6,0.557462,-1.2217299,0.3599280143971206,high,0.19753398560287944
LR_Knee,9,6620.0,6.62,0.509631,-1.2217299,0.3599280143971206,high,0.14970298560287937
