timestamp_ms,step,sim_time,phase,phase_name,cmd_x,cmd_y,cmd_yaw,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,scaled_action_0,scaled_action_1,scaled_action_2,scaled_action_3,scaled_action_4,scaled_action_5,scaled_action_6,scaled_action_7,scaled_action_8,scaled_action_9,scaled_action_10,scaled_action_11,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,target_q_10,target_q_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11
220,10,0.220000,1,Forward,1.000000,0.000000,0.000000,-0.135503,-0.092269,0.146604,-0.018858,0.017707,-0.999665,1.000000,0.000000,0.000000,-0.013356,0.013852,-0.003331,0.010949,0.012500,0.019425,-0.025872,-0.026441,0.162586,-0.185160,0.217614,-0.173816,-0.264059,-0.180006,-0.077474,0.131066,-0.530077,-1.124509,1.116280,0.586127,2.887450,-1.113160,1.406124,-3.276717,-0.616548,-0.128074,-0.150206,-0.256174,-0.173569,0.032340,-0.075135,-0.351588,2.122234,-0.866064,1.022280,-2.833987,-0.632743,-0.161506,-0.163712,-0.315659,-0.307536,-0.116650,0.136128,-0.127215,2.422437,-0.891869,1.128926,-2.692603,-0.158186,-0.040377,-0.040928,-0.078915,-0.076884,-0.029162,0.034032,-0.031804,0.605609,-0.222967,0.282232,-0.673151,-0.158186,-0.040377,-0.040928,-0.078915,-0.076884,-0.029162,0.034032,-0.031804,0.605609,-0.222967,0.282232,-0.673151,-0.013356,0.013852,-0.003331,0.010949,0.012500,0.019425,-0.025872,-0.026441,0.162586,-0.185160,0.217614,-0.173816,-0.264059,-0.180006,-0.077474,0.131066,-0.530077,-1.124509,1.116280,0.586127,2.887450,-1.113160,1.406124,-3.276717
240,11,0.240000,1,Forward,1.000000,0.000000,0.000000,-0.007122,-0.103718,0.131337,-0.020814,0.018283,-0.999616,1.000000,0.000000,0.000000,-0.020186,0.007208,-0.007307,0.015299,-0.000749,-0.005955,0.001019,-0.013551,0.226935,-0.201761,0.243969,-0.242559,-0.382836,-0.398286,-0.233185,0.255831,-0.702032,-1.241794,1.363325,0.638185,3.366049,-0.679671,1.186198,-3.497924,-0.632743,-0.161506,-0.163712,-0.315659,-0.307536,-0.116650,0.136128,-0.127215,2.422437,-0.891869,1.128926,-2.692603,-0.498587,-0.093399,-0.145433,-0.264619,-0.185451,-0.125230,0.309907,0.075749,2.136929,-0.552667,0.740498,-2.266868,-0.124647,-0.023350,-0.036358,-0.066155,-0.046363,-0.031308,0.077477,0.018937,0.534232,-0.138167,0.185124,-0.566717,-0.124647,-0.023350,-0.036358,-0.066155,-0.046363,-0.031308,0.077477,0.018937,0.534232,-0.138167,0.185124,-0.566717,-0.020186,0.007208,-0.007307,0.015299,-0.000749,-0.005955,0.001019,-0.013551,0.226935,-0.201761,0.243969,-0.242559,-0.382836,-0.398286,-0.233185,0.255831,-0.702032,-1.241794,1.363325,0.638185,3.366048,-0.679671,1.186198,-3.497924
260,12,0.260000,1,Forward,1.000000,0.000000,0.000000,-0.018802,-0.109312,0.127418,-0.022969,0.018589,-0.999563,1.000000,0.000000,0.000000,-0.027284,-0.000115,-0.013180,0.019688,-0.011460,-0.027060,0.034304,-0.002860,0.290225,-0.187742,0.233989,-0.309275,-0.340228,-0.328490,-0.278539,0.196355,-0.427260,-0.880050,1.662672,0.451057,3.023604,1.095082,-1.003000,-3.221679,-0.498587,-0.093399,-0.145433,-0.264619,-0.185451,-0.125230,0.309907,0.075749,2.136929,-0.552667,0.740498,-2.266868,-0.211153,0.094065,0.074542,0.026281,0.137963,-0.264591,0.664537,-0.151004,1.721083,-0.150555,0.187988,-0.830621,-0.052788,0.023516,0.018635,0.006570,0.034491,-0.066148,0.166134,-0.037751,0.430271,-0.037639,0.046997,-0.207655,-0.052788,0.023516,0.018635,0.006570,0.034491,-0.066148,0.166134,-0.037751,0.430271,-0.037639,0.046997,-0.207655,-0.027284,-0.000115,-0.013180,0.019688,-0.011460,-0.027060,0.034304,-0.002860,0.290225,-0.187742,0.233989,-0.309275,-0.340228,-0.328490,-0.278539,0.196355,-0.427260,-0.880050,1.662672,0.451057,3.023604,1.095082,-1.003000,-3.221679
280,13,0.280000,1,Forward,1.000000,0.000000,0.000000,-0.000692,-0.177361,0.091313,-0.026260,0.018730,-0.999480,1.000000,0.000000,0.000000,-0.034187,0.000824,-0.011079,0.019627,-0.010490,-0.044400,0.079783,-0.020732,0.337595,-0.137519,0.172936,-0.306745,-0.350710,0.236364,0.319802,-0.048711,0.319925,-0.790211,2.379387,-1.244527,1.977526,2.765343,-3.455121,1.212459,-0.211153,0.094065,0.074542,0.026281,0.137963,-0.264591,0.664537,-0.151004,1.721083,-0.150555,0.187988,-0.830621,0.018659,0.191213,0.189041,0.194621,0.331116,-0.017242,0.640029,-0.520542,1.529149,0.368428,-0.308974,0.494658,0.004665,0.047803,0.047260,0.048655,0.082779,-0.004311,0.160007,-0.130135,0.382287,0.092107,-0.077244,0.123665,0.004665,0.047803,0.047260,0.048655,0.082779,-0.004311,0.160007,-0.130135,0.382287,0.092107,-0.077244,0.123665,-0.034187,0.000824,-0.011079,0.019627,-0.010490,-0.044400,0.079783,-0.020732,0.337595,-0.137519,0.172936,-0.306745,-0.350710,0.236364,0.319802,-0.048711,0.319925,-0.790211,2.379387,-1.244527,1.977526,2.765343,-3.455121,1.212459
300,14,0.300000,1,Forward,1.000000,0.000000,0.000000,-0.056214,-0.272778,-0.004012,-0.031495,0.019652,-0.999311,1.000000,0.000000,0.000000,-0.036645,0.012537,0.004934,0.022146,0.011997,-0.044439,0.121907,-0.078092,0.358842,-0.054462,0.078378,-0.186118,-0.047645,0.730643,1.007666,0.264111,1.441171,0.354977,1.855118,-3.121321,0.620066,4.276089,-4.738106,7.160504,0.018659,0.191213,0.189041,0.194621,0.331116,-0.017242,0.640029,-0.520542,1.529149,0.368428,-0.308974,0.494658,-0.172464,0.221364,0.263022,-0.045389,0.176956,0.383955,0.308256,-0.376055,1.804723,0.921126,-0.604119,1.000355,-0.043116,0.055341,0.065756,-0.011347,0.044239,0.095989,0.077064,-0.094014,0.451181,0.230281,-0.151030,0.250089,-0.043116,0.055341,0.065756,-0.011347,0.044239,0.095989,0.077064,-0.094014,0.451181,0.230281,-0.151030,0.250089,-0.036645,0.012537,0.004934,0.022146,0.011997,-0.044439,0.121907,-0.078092,0.358842,-0.054462,0.078378,-0.186118,-0.047645,0.730643,1.007666,0.264111,1.441171,0.354977,1.855118,-3.121321,0.620066,4.276089,-4.738106,7.160504
320,15,0.320000,1,Forward,1.000000,0.000000,0.000000,-0.073125,-0.377716,-0.077256,-0.038677,0.021199,-0.999027,1.000000,0.000000,0.000000,-0.039323,0.030707,0.031383,0.021035,0.041108,-0.015075,0.133116,-0.118952,0.373465,0.052637,-0.017565,-0.015265,-0.233477,0.897772,1.371586,-0.141363,1.705878,1.728663,-0.059277,-1.343417,0.343941,5.067018,-4.425581,8.269658,-0.172464,0.221364,0.263022,-0.045389,0.176956,0.383955,0.308256,-0.376055,1.804723,0.921126,-0.604119,1.000355,-0.232411,0.221482,0.408440,-0.102520,0.275346,0.264110,0.225332,-0.157596,2.012190,1.377432,-0.850601,1.536998,-0.058103,0.055370,0.102110,-0.025630,0.068836,0.066027,0.056333,-0.039399,0.503048,0.344358,-0.212650,0.384250,-0.058103,0.055370,0.102110,-0.025630,0.068836,0.066027,0.056333,-0.039399,0.503048,0.344358,-0.212650,0.384250,-0.039323,0.030707,0.031383,0.021035,0.041108,-0.015075,0.133116,-0.118952,0.373465,0.052637,-0.017565,-0.015265,-0.233477,0.897772,1.371586,-0.141363,1.705878,1.728663,-0.059277,-1.343417,0.343941,5.067018,-4.425581,8.269658
340,16,0.340000,1,Forward,1.000000,0.000000,0.000000,0.499273,-0.389485,-0.110828,-0.047007,0.013461,-0.998804,1.000000,0.000000,0.000000,-0.050948,0.047988,0.059529,0.013246,0.078416,0.017511,0.118207,-0.116998,0.375580,0.124616,-0.101645,0.152569,-0.927163,1.041039,1.128947,-0.579429,1.788685,2.165124,-0.932608,0.928177,-0.008757,0.789963,-3.695659,7.721669,-0.232411,0.221482,0.408440,-0.102520,0.275346,0.264110,0.225332,-0.157596,2.012190,1.377432,-0.850601,1.536998,0.146456,0.344868,0.458097,0.202457,1.337002,0.442367,0.242694,-0.159392,0.691974,2.182806,-1.289962,1.929956,0.036614,0.086217,0.114524,0.050614,0.334250,0.110592,0.060674,-0.039848,0.172993,0.545701,-0.322491,0.482489,0.036614,0.086217,0.114524,0.050614,0.334250,0.110592,0.060674,-0.039848,0.172993,0.545701,-0.322491,0.482489,-0.050948,0.047988,0.059529,0.013246,0.078416,0.017511,0.118207,-0.116998,0.375580,0.124616,-0.101645,0.152569,-0.927163,1.041039,1.128947,-0.579429,1.788685,2.165124,-0.932608,0.928177,-0.008757,0.789963,-3.695659,7.721669
360,17,0.360000,1,Forward,1.000000,0.000000,0.000000,1.230992,0.481439,-0.030876,-0.040459,-0.008187,-0.999148,1.000000,0.000000,0.000000,-0.056214,0.071906,0.065460,0.008168,0.145729,0.055199,0.103954,-0.080888,0.313303,0.115487,-0.165943,0.297190,0.129235,1.125440,-0.318108,-0.221572,3.815984,1.644210,-1.412645,2.084246,-3.810838,-0.630736,-0.894969,6.440817,0.146456,0.344868,0.458097,0.202457,1.337002,0.442367,0.242694,-0.159392,0.691974,2.182806,-1.289962,1.929956,0.102618,0.592199,0.920235,0.230623,1.141017,0.507986,0.336688,0.176406,-0.374264,2.400487,-2.332711,2.050272,0.025655,0.148050,0.230059,0.057656,0.285254,0.126997,0.084172,0.044101,-0.093566,0.600122,-0.583178,0.512568,0.025655,0.148050,0.230059,0.057656,0.285254,0.126997,0.084172,0.044101,-0.093566,0.600122,-0.583178,0.512568,-0.056214,0.071906,0.065460,0.008168,0.145729,0.055199,0.103954,-0.080888,0.313303,0.115487,-0.165943,0.297190,0.129235,1.125440,-0.318108,-0.221572,3.815984,1.644210,-1.412645,2.084246,-3.810838,-0.630736,-0.894969,6.440817
380,18,0.380000,1,Forward,1.000000,0.000000,0.000000,0.204239,0.488924,0.037586,-0.030437,-0.014976,-0.999425,1.000000,0.000000,0.000000,-0.042772,0.079924,0.061191,0.001850,0.221745,0.084727,0.060469,-0.023919,0.177971,0.109364,-0.139881,0.398704,0.966019,0.071976,-0.051702,-0.277037,3.268093,1.360336,-2.256705,2.983427,-7.305158,-0.024119,1.595524,4.206513,0.102618,0.592199,0.920235,0.230623,1.141017,0.507986,0.336688,0.176406,-0.374264,2.400487,-2.332711,2.050272,0.144333,1.061739,1.047240,0.362465,0.666200,0.361871,0.347495,0.510841,-0.670667,2.862877,-3.092833,2.003560,0.036083,0.265435,0.261810,0.090616,0.166550,0.090468,0.086874,0.127710,-0.167667,0.715719,-0.773208,0.500890,0.036083,0.265435,0.261810,0.090616,0.166550,0.090468,0.086874,0.127710,-0.167667,0.715719,-0.773208,0.500890,-0.042772,0.079924,0.061191,0.001850,0.221745,0.084727,0.060469,-0.023919,0.177971,0.109364,-0.139881,0.398704,0.966019,0.071976,-0.051702,-0.277037,3.268093,1.360336,-2.256705,2.983427,-7.305158,-0.024119,1.595524,4.206513
400,19,0.400000,1,Forward,1.000000,0.000000,0.000000,-0.098203,0.305104,0.039307,-0.023832,-0.013415,-0.999626,1.000000,0.000000,0.000000,-0.021169,0.079302,0.060844,0.007859,0.240227,0.102450,0.026274,0.046399,0.035886,0.129186,-0.130889,0.452637,1.027570,-0.080798,0.006805,0.515210,-0.209968,0.671743,-1.374244,3.490440,-6.475440,1.531626,-0.321673,1.985555,0.144333,1.061739,1.047240,0.362465,0.666200,0.361871,0.347495,0.510841,-0.670667,2.862877,-3.092833,2.003560,0.270902,1.303488,1.062131,0.372364,0.468168,0.113863,0.413387,0.668381,-0.943535,3.177276,-3.098442,1.628050,0.067726,0.325872,0.265533,0.093091,0.117042,0.028466,0.103347,0.167095,-0.235884,0.794319,-0.774611,0.407013,0.067726,0.325872,0.265533,0.093091,0.117042,0.028466,0.103347,0.167095,-0.235884,0.794319,-0.774611,0.407013,-0.021169,0.079302,0.060844,0.007859,0.240227,0.102450,0.026274,0.046399,0.035886,0.129186,-0.130889,0.452637,1.027571,-0.080798,0.006805,0.515210,-0.209968,0.671743,-1.374244,3.490440,-6.475440,1.531626,-0.321673,1.985555
