timestamp_ms,step,sim_time,phase,phase_name,cmd_x,cmd_y,cmd_yaw,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,scaled_action_0,scaled_action_1,scaled_action_2,scaled_action_3,scaled_action_4,scaled_action_5,scaled_action_6,scaled_action_7,scaled_action_8,scaled_action_9,scaled_action_10,scaled_action_11,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,target_q_10,target_q_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11
220,10,0.220000,0,Stand,0.000000,0.000000,0.000000,-0.013837,-0.011636,-0.030277,-0.002390,0.000750,-0.999997,0.000000,0.000000,0.000000,-0.000203,-0.000506,0.008529,0.004871,0.001085,0.010978,-0.005010,-0.008375,0.009205,0.002099,-0.005544,-0.008991,0.032818,0.014471,0.001564,0.041739,-0.267108,-0.246460,0.303026,0.313264,0.375948,0.327503,-0.397740,-0.390051,-0.175433,-0.042894,0.047311,0.009912,-0.403051,-0.052176,0.048398,0.278354,0.667324,0.158858,-0.572104,-0.621961,-0.164234,0.005276,0.059680,0.003712,-0.418780,-0.121321,0.053888,0.156382,0.722486,0.228224,-0.646071,-0.538762,-0.041058,0.001319,0.014920,0.000928,-0.104695,-0.030330,0.013472,0.039096,0.180622,0.057056,-0.161518,-0.134690,-0.041058,0.001319,0.014920,0.000928,-0.104695,-0.030330,0.013472,0.039096,0.180622,0.057056,-0.161518,-0.134690,-0.000203,-0.000506,0.008529,0.004871,0.001085,0.010978,-0.005010,-0.008375,0.009205,0.002099,-0.005544,-0.008991,0.032818,0.014471,0.001564,0.041739,-0.267108,-0.246460,0.303026,0.313264,0.375948,0.327503,-0.397740,-0.390051
240,11,0.240000,0,Stand,0.000000,0.000000,0.000000,0.062705,-0.050220,-0.024064,-0.003251,-0.000255,-0.999995,0.000000,0.000000,0.000000,-0.000929,0.000992,0.007158,0.006844,-0.004294,0.007058,0.000213,-0.004375,0.017330,0.007703,-0.013046,-0.014186,-0.064706,0.096924,-0.096958,0.119471,-0.263480,-0.161555,0.236299,0.142137,0.410730,0.239930,-0.357392,-0.189631,-0.164234,0.005276,0.059680,0.003712,-0.418780,-0.121321,0.053888,0.156382,0.722486,0.228224,-0.646071,-0.538762,-0.127643,0.033027,0.032930,-0.015582,-0.261289,-0.108105,0.035694,0.118061,0.587707,0.225239,-0.624848,-0.498452,-0.031911,0.008257,0.008233,-0.003895,-0.065322,-0.027026,0.008924,0.029515,0.146927,0.056310,-0.156212,-0.124613,-0.031911,0.008257,0.008233,-0.003895,-0.065322,-0.027026,0.008924,0.029515,0.146927,0.056310,-0.156212,-0.124613,-0.000929,0.000992,0.007158,0.006844,-0.004294,0.007058,0.000213,-0.004375,0.017330,0.007703,-0.013046,-0.014186,-0.064706,0.096924,-0.096958,0.119471,-0.263480,-0.161555,0.236299,0.142137,0.410730,0.239930,-0.357392,-0.189631
260,12,0.260000,0,Stand,0.000000,0.000000,0.000000,0.039008,-0.063022,-0.003438,-0.004505,-0.001157,-0.999989,0.000000,0.000000,0.000000,-0.002023,0.002387,0.005411,0.008618,-0.007523,0.005730,0.003390,-0.003378,0.022314,0.009441,-0.018066,-0.015330,-0.048035,0.053152,-0.080642,0.071340,-0.108024,-0.020105,0.116387,0.008258,0.155093,0.003757,-0.185436,0.008041,-0.127643,0.033027,0.032930,-0.015582,-0.261289,-0.108105,0.035694,0.118061,0.587707,0.225239,-0.624848,-0.498452,-0.134131,-0.013089,0.011827,-0.031466,-0.273595,-0.030499,0.040942,0.220036,0.629583,0.181208,-0.557131,-0.558402,-0.033533,-0.003272,0.002957,-0.007866,-0.068399,-0.007625,0.010236,0.055009,0.157396,0.045302,-0.139283,-0.139600,-0.033533,-0.003272,0.002957,-0.007866,-0.068399,-0.007625,0.010236,0.055009,0.157396,0.045302,-0.139283,-0.139600,-0.002023,0.002387,0.005411,0.008618,-0.007523,0.005730,0.003390,-0.003378,0.022314,0.009441,-0.018066,-0.015330,-0.048035,0.053152,-0.080642,0.071340,-0.108024,-0.020105,0.116387,0.008258,0.155093,0.003757,-0.185436,0.008041
280,13,0.280000,0,Stand,0.000000,0.000000,0.000000,-0.043788,-0.029659,-0.011054,-0.005199,-0.000511,-0.999986,0.000000,0.000000,0.000000,-0.001905,0.002636,0.004882,0.009243,-0.008121,0.006426,0.004930,-0.002852,0.022321,0.007217,-0.019573,-0.014772,0.027833,-0.001934,-0.004525,0.016979,0.010983,0.057648,0.056455,0.034385,-0.081756,-0.163298,-0.017484,0.039373,-0.134131,-0.013089,0.011827,-0.031466,-0.273595,-0.030499,0.040942,0.220036,0.629583,0.181208,-0.557131,-0.558402,-0.126155,-0.028717,0.047074,0.004419,-0.382139,-0.104831,0.066045,0.265008,0.684822,0.245637,-0.645097,-0.620506,-0.031539,-0.007179,0.011769,0.001105,-0.095535,-0.026208,0.016511,0.066252,0.171206,0.061409,-0.161274,-0.155126,-0.031539,-0.007179,0.011769,0.001105,-0.095535,-0.026208,0.016511,0.066252,0.171206,0.061409,-0.161274,-0.155126,-0.001905,0.002636,0.004882,0.009243,-0.008121,0.006426,0.004930,-0.002852,0.022321,0.007217,-0.019573,-0.014772,0.027833,-0.001934,-0.004525,0.016979,0.010983,0.057648,0.056455,0.034385,-0.081756,-0.163298,-0.017484,0.039373
300,14,0.300000,0,Stand,0.000000,0.000000,0.000000,-0.079551,0.025629,-0.022150,-0.004839,0.001009,-0.999988,0.000000,0.000000,0.000000,-0.001005,0.002414,0.005129,0.009449,-0.008362,0.005842,0.006874,-0.000001,0.020123,0.005460,-0.019844,-0.016042,0.049411,-0.011327,0.016759,0.010677,-0.023174,-0.069236,0.115986,0.191792,-0.117901,-0.048051,-0.014358,-0.114002,-0.126155,-0.028717,0.047074,0.004419,-0.382139,-0.104831,0.066045,0.265008,0.684822,0.245637,-0.645097,-0.620506,-0.106179,-0.011612,0.056588,0.000954,-0.462662,-0.136691,0.063748,0.220081,0.746205,0.290588,-0.698495,-0.594641,-0.026545,-0.002903,0.014147,0.000239,-0.115665,-0.034173,0.015937,0.055020,0.186551,0.072647,-0.174624,-0.148660,-0.026545,-0.002903,0.014147,0.000239,-0.115665,-0.034173,0.015937,0.055020,0.186551,0.072647,-0.174624,-0.148660,-0.001005,0.002414,0.005129,0.009449,-0.008362,0.005842,0.006874,-0.000001,0.020123,0.005460,-0.019844,-0.016042,0.049411,-0.011327,0.016759,0.010677,-0.023174,-0.069236,0.115986,0.191792,-0.117901,-0.048051,-0.014358,-0.114002
320,15,0.320000,0,Stand,0.000000,0.000000,0.000000,-0.040470,0.018086,-0.017730,-0.004422,0.001956,-0.999988,0.000000,0.000000,0.000000,-0.000588,0.002645,0.004863,0.010122,-0.009943,0.003692,0.009742,0.003867,0.019772,0.006041,-0.021493,-0.018918,0.007430,0.021184,-0.027032,0.043304,-0.105613,-0.120197,0.156038,0.189501,0.037403,0.062903,-0.120705,-0.156049,-0.106179,-0.011612,0.056588,0.000954,-0.462662,-0.136691,0.063748,0.220081,0.746205,0.290588,-0.698495,-0.594641,-0.085564,-0.023336,0.038245,-0.015917,-0.422857,-0.102663,0.031826,0.180993,0.727332,0.254392,-0.632586,-0.556392,-0.021391,-0.005834,0.009561,-0.003979,-0.105714,-0.025666,0.007956,0.045248,0.181833,0.063598,-0.158147,-0.139098,-0.021391,-0.005834,0.009561,-0.003979,-0.105714,-0.025666,0.007956,0.045248,0.181833,0.063598,-0.158147,-0.139098,-0.000588,0.002645,0.004863,0.010122,-0.009943,0.003692,0.009742,0.003867,0.019772,0.006041,-0.021493,-0.018918,0.007430,0.021184,-0.027032,0.043304,-0.105613,-0.120197,0.156038,0.189501,0.037403,0.062903,-0.120705,-0.156049
340,16,0.340000,0,Stand,0.000000,0.000000,0.000000,-0.017519,-0.022403,-0.009860,-0.004758,0.002352,-0.999986,0.000000,0.000000,0.000000,-0.000538,0.003042,0.004221,0.010961,-0.011786,0.002525,0.012192,0.006035,0.021167,0.006397,-0.024031,-0.020653,0.000912,0.017824,-0.033624,0.040027,-0.083750,-0.027134,0.104864,0.066788,0.082684,-0.006624,-0.128557,-0.049340,-0.085564,-0.023336,0.038245,-0.015917,-0.422857,-0.102663,0.031826,0.180993,0.727332,0.254392,-0.632586,-0.556392,-0.082994,-0.032254,0.026884,-0.026031,-0.394769,-0.081987,0.030176,0.195547,0.712016,0.226821,-0.581428,-0.553621,-0.020748,-0.008063,0.006721,-0.006508,-0.098692,-0.020497,0.007544,0.048887,0.178004,0.056705,-0.145357,-0.138405,-0.020748,-0.008063,0.006721,-0.006508,-0.098692,-0.020497,0.007544,0.048887,0.178004,0.056705,-0.145357,-0.138405,-0.000538,0.003042,0.004221,0.010961,-0.011786,0.002525,0.012192,0.006035,0.021167,0.006397,-0.024031,-0.020653,0.000912,0.017824,-0.033624,0.040027,-0.083750,-0.027134,0.104864,0.066788,0.082684,-0.006624,-0.128557,-0.049340
360,17,0.360000,0,Stand,0.000000,0.000000,0.000000,-0.019458,-0.032901,-0.009582,-0.005408,0.002721,-0.999982,0.000000,0.000000,0.000000,-0.000267,0.003173,0.003814,0.011529,-0.012751,0.002859,0.013533,0.006533,0.022096,0.005218,-0.025706,-0.020591,0.019214,0.001986,-0.014385,0.023714,-0.029555,0.035398,0.046910,0.005433,0.024312,-0.081944,-0.057220,0.029242,-0.082994,-0.032254,0.026884,-0.026031,-0.394769,-0.081987,0.030176,0.195547,0.712016,0.226821,-0.581428,-0.553621,-0.094173,-0.034309,0.034151,-0.028489,-0.438480,-0.104014,0.054048,0.223625,0.714694,0.231650,-0.596362,-0.556294,-0.023543,-0.008577,0.008538,-0.007122,-0.109620,-0.026003,0.013512,0.055906,0.178674,0.057913,-0.149091,-0.139074,-0.023543,-0.008577,0.008538,-0.007122,-0.109620,-0.026003,0.013512,0.055906,0.178674,0.057913,-0.149091,-0.139074,-0.000267,0.003173,0.003814,0.011529,-0.012751,0.002859,0.013533,0.006533,0.022096,0.005218,-0.025706,-0.020591,0.019214,0.001986,-0.014385,0.023714,-0.029555,0.035398,0.046910,0.005433,0.024312,-0.081944,-0.057220,0.029242
380,18,0.380000,0,Stand,0.000000,0.000000,0.000000,-0.013973,-0.014905,-0.010025,-0.005764,0.003021,-0.999979,0.000000,0.000000,0.000000,0.000192,0.003129,0.003606,0.011910,-0.013296,0.003150,0.014326,0.006900,0.022150,0.003887,-0.026269,-0.020060,0.024839,-0.004233,-0.008401,0.016922,-0.025734,0.003856,0.034563,0.024217,-0.007009,-0.056341,-0.012598,0.024187,-0.094173,-0.034309,0.034151,-0.028489,-0.438480,-0.104014,0.054048,0.223625,0.714694,0.231650,-0.596362,-0.556294,-0.094470,-0.029674,0.037106,-0.026158,-0.430608,-0.107774,0.056247,0.214445,0.724520,0.244003,-0.619345,-0.563702,-0.023617,-0.007419,0.009277,-0.006539,-0.107652,-0.026943,0.014062,0.053611,0.181130,0.061001,-0.154836,-0.140925,-0.023617,-0.007419,0.009277,-0.006539,-0.107652,-0.026943,0.014062,0.053611,0.181130,0.061001,-0.154836,-0.140925,0.000192,0.003129,0.003606,0.011910,-0.013296,0.003150,0.014326,0.006900,0.022150,0.003887,-0.026269,-0.020060,0.024839,-0.004233,-0.008401,0.016922,-0.025734,0.003856,0.034563,0.024217,-0.007009,-0.056341,-0.012598,0.024187
400,19,0.400000,0,Stand,0.000000,0.000000,0.000000,-0.006000,-0.006817,-0.008915,-0.005916,0.003159,-0.999978,0.000000,0.000000,0.000000,0.000706,0.002992,0.003455,0.012202,-0.013856,0.002992,0.014938,0.007415,0.022155,0.003225,-0.026489,-0.019745,0.026396,-0.008479,-0.006833,0.013036,-0.029195,-0.013552,0.027284,0.025890,0.005280,-0.020510,-0.009617,0.011135,-0.094470,-0.029674,0.037106,-0.026158,-0.430608,-0.107774,0.056247,0.214445,0.724520,0.244003,-0.619345,-0.563702,-0.101937,-0.022505,0.033890,-0.016614,-0.413746,-0.103375,0.056821,0.223428,0.713746,0.229512,-0.612361,-0.558484,-0.025484,-0.005626,0.008473,-0.004154,-0.103436,-0.025844,0.014205,0.055857,0.178437,0.057378,-0.153090,-0.139621,-0.025484,-0.005626,0.008473,-0.004154,-0.103436,-0.025844,0.014205,0.055857,0.178437,0.057378,-0.153090,-0.139621,0.000706,0.002992,0.003455,0.012202,-0.013856,0.002992,0.014938,0.007415,0.022155,0.003225,-0.026489,-0.019745,0.026396,-0.008479,-0.006833,0.013036,-0.029195,-0.013552,0.027284,0.025890,0.005280,-0.020510,-0.009617,0.011135
