test,t,joint,joint_name,motor_id,can,desired,position,velocity,torque,online,error_code,pattern
step,0.000000,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.010084,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.020079,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.030078,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.040079,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.050075,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.060081,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.070061,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.080054,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.090038,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,1,0,0
step,0.100064,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.110039,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.120037,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.130059,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.140071,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.150083,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.160056,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.170125,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.180123,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.190403,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.200133,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.210094,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.220073,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.230087,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.240081,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.250134,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.260124,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.270122,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.280172,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.290125,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.300109,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.310095,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.320669,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.330140,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
step,0.340138,8,LF_Knee,3,can0,-0.901730,-1.060000,0.000000,0.000000,0,0,0
